"","USPS","GEOID","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG"
"3723","CA","6053011101",486579880,2391990,187.87,0.924,36.3669665,-121.4758894
"3724","CA","6053011102",118839854,102539,45.884,0.04,36.4618356,-121.298169
"3725","CA","6053011202",3795533,202,1.465,0,36.329304,-121.2400446
"3726","CA","6053011203",1809135,0,0.699,0,36.3177202,-121.244738
"3727","CA","6053011204",237723737,8213224,91.786,3.171,36.3518636,-121.2425346
"3728","CA","6053011302",1896352,0,0.732,0,36.2128108,-121.1254387
"3729","CA","6053011303",609753896,7519584,235.427,2.903,36.1770603,-121.2767662
"3730","CA","6053011304",544588133,5714448,210.267,2.206,36.246079,-121.0176253
"3731","CA","6053011400",3667181304,49632892,1415.907,19.163,35.9668581,-120.9172021
"3732","CA","6053011502",651024234,19891555,251.362,7.68,36.2793246,-121.6950338
"3733","CA","6053011602",47811019,338603,18.46,0.131,36.5409125,-121.8182716
"3734","CA","6053011604",95581515,2410239,36.904,0.931,36.4997312,-121.871267
"3735","CA","6053011700",5252077,652768,2.028,0.252,36.5294601,-121.9250324
"3736","CA","6053011801",1043155,0,0.403,0,36.5587379,-121.9209602
"3737","CA","6053011802",1751999,420803,0.676,0.162,36.5494476,-121.9239502
"3738","CA","6053011900",20880947,3083824,8.062,1.191,36.5852187,-121.9452821
"3739","CA","6053012000",1072136,1840,0.414,0.001,36.6028686,-121.926271
"3740","CA","6053012100",1144777,11596,0.442,0.004,36.6129762,-121.9252483
"3741","CA","6053012200",862071,0,0.333,0,36.6173279,-121.9208292
"3742","CA","6053012302",563391,0,0.218,0,36.6199026,-121.9174657
"3743","CA","6053012401",784182,555380,0.303,0.214,36.6228559,-121.9132892
"3744","CA","6053012402",2824304,945428,1.09,0.365,36.6262314,-121.9319044
"3745","CA","6053012502",1667662,528200,0.644,0.204,36.6114328,-121.9042032
"3746","CA","6053012600",1628848,60486,0.629,0.023,36.6045157,-121.911505
"3747","CA","6053012700",1593820,552291,0.615,0.213,36.6021019,-121.8947338
"3748","CA","6053012800",4326370,0,1.67,0,36.5895988,-121.9095446
"3749","CA","6053013000",3185974,410754,1.23,0.159,36.5938492,-121.8844269
"3750","CA","6053013100",1265509,0,0.489,0,36.5815969,-121.8795948
"3751","CA","6053013200",42548538,34615,16.428,0.013,36.5619603,-121.8048088
"3752","CA","6053013300",5570220,364936,2.151,0.141,36.5941325,-121.8548464
"3753","CA","6053013400",1243108,5204,0.48,0.002,36.5825013,-121.8297974
"3754","CA","6053013500",1373405,0,0.53,0,36.6034308,-121.8319795
"3755","CA","6053013600",949920,0,0.367,0,36.6015572,-121.8432526
"3756","CA","6053013700",711788,0,0.275,0,36.6107804,-121.8411902
"3757","CA","6053013800",1224923,0,0.473,0,36.6129213,-121.8296281
"3758","CA","6053013900",1034653,0,0.399,0,36.6190341,-121.8296872
"3759","CA","6053014000",2648011,362498,1.022,0.14,36.6151532,-121.8487991
"3760","CA","6053014102",11791935,79367,4.553,0.031,36.6634389,-121.8002812
"3761","CA","6053014104",3204492,0,1.237,0,36.6518615,-121.7987528
"3762","CA","6053014105",5069345,0,1.957,0,36.6605315,-121.7650065
"3763","CA","6053014107",89618619,1199003,34.602,0.463,36.5954235,-121.7882216
"3764","CA","6053014201",1556645,0,0.601,0,36.6765137,-121.7937321
"3765","CA","6053014202",1032427,0,0.399,0,36.6807321,-121.7902463
"3766","CA","6053014301",10406622,1633052,4.018,0.631,36.7252682,-121.7956088
"3767","CA","6053014302",13936593,415847,5.381,0.161,36.7093536,-121.771688
"3768","CA","6053014500",13886373,0,5.362,0,36.6483701,-121.6367227
"3769","CA","6053014601",43428163,4026508,16.768,1.555,36.8334157,-121.7572058
"3770","CA","6053014700",30693234,468303,11.851,0.181,36.8010562,-121.7117029
"3771","CA","6053014800",277443931,317970,107.122,0.123,36.5669002,-121.4025672
"3772","CA","6053980000",3928190,0,1.517,0,36.6632605,-121.6050021
"3773","CA","6053990000",0,1141754780,0,440.834,36.8196,-122.051878
"3774","CA","6055200201",1390708,0,0.537,0,38.2918154,-122.2978739
"3775","CA","6055200202",1004090,24848,0.388,0.01,38.2947649,-122.2877733
"3776","CA","6055200203",810377,70247,0.313,0.027,38.2870988,-122.2891839
"3777","CA","6055200301",2809779,95021,1.085,0.037,38.2878675,-122.2739715
"3778","CA","6055200302",1949554,8549,0.753,0.003,38.2874461,-122.2590353
"3779","CA","6055200400",6406445,94788,2.474,0.037,38.310719,-122.2671252
"3780","CA","6055200501",1975824,0,0.763,0,38.3110736,-122.3010777
"3781","CA","6055200503",1319708,46887,0.51,0.018,38.3052531,-122.287051
"3782","CA","6055200504",1853588,0,0.716,0,38.3170915,-122.2915765
"3783","CA","6055200505",751793,4908,0.29,0.002,38.3152192,-122.2812515
"3784","CA","6055200601",2043216,0,0.789,0,38.3317566,-122.3124397
"3785","CA","6055200602",3320513,17381,1.282,0.007,38.334581,-122.2995123
"3786","CA","6055200703",2248473,0,0.868,0,38.3098464,-122.329452
"3787","CA","6055200704",1549863,0,0.598,0,38.3153555,-122.3154135
"3788","CA","6055200705",1271605,0,0.491,0,38.3056856,-122.3106008
"3789","CA","6055200706",1856469,0,0.717,0,38.3307724,-122.330222
"3790","CA","6055200707",1490145,0,0.575,0,38.3234476,-122.3205427
"3791","CA","6055200802",13897346,780513,5.366,0.301,38.2692695,-122.30278
"3792","CA","6055200803",5102680,18486,1.97,0.007,38.2888263,-122.3383135
