"","SerialNumber","TransportationMode","ArrivalTime","Age","ClassOfWorker","Occupation","Sex","MaritalStatus","HealthInsurance","EducationLevel","TotalIncome","IncomeAdjuster","PUMA","HomeOffice"
"299",18195,"Driving",85,64,1,4720,2,3,1,18,32000,1007588,11103,0
"300",18196,"Driving",93,24,1,7320,1,5,1,16,45000,1007588,11103,0
"301",18197,NA,NA,12,NA,NA,2,5,1,9,NA,1007588,11103,0
"302",18669,NA,NA,72,NA,NA,2,1,1,21,9600,1007588,11103,0
"303",18670,NA,NA,73,NA,NA,1,1,1,21,46900,1007588,11103,0
"304",18681,NA,NA,47,3,3850,1,1,1,19,42000,1007588,11106,0
"305",18682,"Driving",90,40,1,8740,2,1,1,18,60000,1007588,11106,0
"306",18683,NA,NA,10,NA,NA,2,5,1,7,NA,1007588,11106,0
"307",18837,NA,NA,63,NA,NA,2,1,1,21,20000,1007588,11103,0
"308",18838,"Driving",73,52,6,2000,2,1,1,21,40000,1007588,11103,0
"309",18895,"Driving",96,41,6,4230,2,1,1,16,12000,1007588,8303,0
"310",18896,"Home Office",NA,56,6,205,1,1,1,4,21000,1007588,8303,1
"311",18897,NA,NA,16,NA,NA,2,5,1,13,0,1007588,8303,0
"312",18898,NA,NA,6,NA,NA,1,5,1,3,NA,1007588,8303,0
"313",18995,"Driving",96,33,1,4510,2,1,2,18,1000,1007588,11106,0
"314",18996,"Driving",81,29,1,220,1,1,1,19,88000,1007588,11106,0
"315",18997,NA,NA,2,NA,NA,2,5,1,NA,NA,1007588,11106,0
"316",18998,NA,NA,0,NA,NA,2,5,1,NA,NA,1007588,11106,0
"317",19414,"Public Transit",146,18,1,4720,2,5,1,18,2000,1007588,8303,0
"318",19531,"Driving",83,22,1,850,2,5,1,21,40030,1007588,11104,0
"319",19532,NA,NA,21,NA,NA,1,5,1,19,0,1007588,11104,0
"320",19533,"Driving",83,21,1,4030,2,5,1,19,9300,1007588,11104,0
"321",19689,NA,NA,19,1,5120,2,5,1,16,2700,1007588,8303,0
"322",19813,NA,NA,66,NA,NA,1,1,1,19,10000,1007588,8303,0
"323",19814,NA,NA,67,NA,NA,2,1,1,22,47000,1007588,8303,0
"324",19929,"Driving",89,21,5,7140,1,5,1,18,28030,1007588,11106,0
"325",19987,"Driving",95,32,1,1006,1,5,1,21,99000,1007588,8303,0
"326",19988,"Driving",110,33,1,800,2,5,1,21,79000,1007588,8303,0
"327",19989,"Driving",119,28,1,800,1,5,1,21,55000,1007588,8303,0
"328",20138,NA,NA,94,NA,NA,2,2,1,15,24000,1007588,11106,0
"329",20209,NA,NA,20,2,9620,1,5,1,19,8000,1007588,11106,0
"330",20301,NA,NA,88,NA,NA,2,2,1,16,12200,1007588,8303,0
"331",20511,"Driving",30,58,1,9140,1,1,1,15,26000,1007588,11103,0
"332",20512,NA,119,55,1,8800,2,1,1,16,33600,1007588,11103,0
"333",20610,NA,NA,77,2,3245,2,3,1,24,4400,1007588,8303,0
"334",20704,"Biking",155,28,4,2200,1,5,1,22,25000,1007588,8303,0
"335",20720,NA,NA,81,NA,NA,2,2,1,19,19200,1007588,11106,0
"336",20721,NA,NA,54,NA,NA,2,3,1,15,0,1007588,11106,0
"337",20722,NA,NA,80,NA,NA,1,3,1,16,19000,1007588,11106,0
"338",21105,"Biking",197,20,1,4110,2,5,1,18,14000,1007588,8303,0
"339",21108,"Driving",89,57,5,5000,2,1,1,21,79100,1007588,11106,0
"340",21109,"Driving",92,57,5,5000,1,1,1,21,179450,1007588,11106,0
"341",21210,"Biking",105,32,2,430,2,1,1,21,30000,1007588,8303,0
"342",21211,"Biking",95,33,1,1410,1,1,1,22,106000,1007588,8303,0
